scraped_at,scrape_date,store_name,category_name,category_url,main_url,discovery_hint,source_url,product_name,brand,current_price_raw,previous_price_raw,unit_price_raw,package_raw,discount_raw,promo_raw,current_price_eur,previous_price_eur,source_product_url,error_message
2026-03-26 13:17:59,2026-03-26,Lidl,,,,,https://www.lidl.at/p/frisches-faschiertes-gemischt/p10046926,Frisches Faschiertes gemischt,FALSE,3.99,,,,,,3.99,,https://www.lidl.at/p/frisches-faschiertes-gemischt/p10046926,legacy_search
2026-03-26 13:17:59,2026-03-26,Lidl,,,,,https://www.lidl.at/p/wiesentaler-frisches-faschiertes-gemischt/p10046977,WIESENTALER Frisches Faschiertes gemischt,WIESENTALER,,,,,,,,,https://www.lidl.at/p/wiesentaler-frisches-faschiertes-gemischt/p10046977,legacy_search
2026-03-26 13:18:00,2026-03-26,Lidl,,,,,https://www.lidl.at/p/trattoria-alfredo-glutenfreie-pizza-calzone/p10046980,TRATTORIA ALFREDO Glutenfreie Pizza Calzone,TRATTORIA ALFREDO,3.49,,,,,,3.49,,https://www.lidl.at/p/trattoria-alfredo-glutenfreie-pizza-calzone/p10046980,legacy_search
2026-03-26 13:18:09,2026-03-26,MPreis,,,,,,Teebutter,,1.79,,,,,,1.79,,,legacy_search
2026-03-26 13:18:09,2026-03-26,MPreis,,,,,,Primina Teebutter,,2.79,,,,,,2.79,,,legacy_search
2026-03-26 13:18:09,2026-03-26,MPreis,,,,,,Premium Teebutter streichzart,,2.99,,,,,,2.99,,,legacy_search
2026-03-26 13:18:09,2026-03-26,MPreis,,,,,,Premium Bio Teebutter,,2.99,,,,,,2.99,,,legacy_search
2026-03-26 13:18:09,2026-03-26,MPreis,,,,,,L-Free Österreichische Teebutter laktosefrei,,2.89,,,,,,2.89,,,legacy_search
2026-03-26 13:18:09,2026-03-26,MPreis,,,,,,Teebutter,,2.79,,,,,,2.79,,,legacy_search
2026-03-26 13:18:09,2026-03-26,MPreis,,,,,,Teebutter Süßrahm,,2.79,,,,,,2.79,,,legacy_search
2026-03-26 13:18:09,2026-03-26,MPreis,,,,,,Bio Wiesenmilch Teebutter,,2.99,,,,,,2.99,,,legacy_search
2026-03-26 13:18:09,2026-03-26,MPreis,,,,,,Bio Teebutter Süßrahm,,3.19,,,,,,3.19,,,legacy_search
2026-03-26 13:18:09,2026-03-26,MPreis,,,,,,Teebutter Sauerrahm,,2.79,,,,,,2.79,,,legacy_search
2026-03-26 13:18:09,2026-03-26,MPreis,,,,,,Teebutter,,1.49,,,,,,1.49,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Bio-Eier 10er,,5.29,,,,,,5.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Freilandeier 6er,,3.29,,,,,,3.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Freilandeier 15er,,6.39,,,,,,6.39,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Bodenhaltung M 10er-Packung,,2.79,,,,,,2.79,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Freilandhaltung L 10er-Packung,,4.69,,,,,,4.69,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Bio Eier M/L 6er-Packung,,4.79,,,,,,4.79,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Bodenhaltung L 10er-Packung,,4.29,,,,,,4.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Ostereier Freilandhaltung 6er-Packung,,4.29,,,,,,4.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Ostereier Freilandhaltung 10er-Packung,,5.29,,,,,,5.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Ostereier Bodenhaltung 10er-Packung,,3.99,,,,,,3.99,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Ostereier Bodenhaltung 6er-Packung,,3.29,,,,,,3.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Freilandeier Premium 10er-Packung,,5.29,,,,,,5.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Freilandhaltung XL 10er-Packung,,6.29,,,,,,6.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Bodenhaltung L 6er-Packung,,3.29,,,,,,3.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Tiroler Ostereier Freilandhaltung 6er-Packung,,4.19,,,,,,4.19,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier 4er-Packung,,3.29,,,,,,3.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Bio Ostereier 6er-Packung,,5.19,,,,,,5.19,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Jauseneier Bodenhaltung 6er-Packung,,3.19,,,,,,3.19,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Jauseneier Freilandhaltung 4er-Packung,,3.29,,,,,,3.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Bio Eier L lose,,0.7,,,,,,0.7,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier weiß Bodenhaltung 10er-Packung,,3.99,,,,,,3.99,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Freilandhaltung L 6er-Packung,,3.59,,,,,,3.59,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Bio Freilandeier,,0.59,,,,,,0.59,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Osttiroler Freilandeier M 10er-pack,,4.29,,,,,,4.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Bio Eier M/L 10er-Packung,,6.99,,,,,,6.99,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Osttiroler Freilandeier L 6er-pack,,3.29,,,,,,3.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Bodenhaltung L 10er-Packung,,3.99,,,,,,3.99,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Bodenhaltung M 10er-Packung,,3.89,,,,,,3.89,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Freilandhaltung M 10er-Packung,,4.19,,,,,,4.19,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Freilandeier M 10er-Packung,,3.99,,,,,,3.99,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Freilandeier L 6er-Packung,,3.49,,,,,,3.49,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier L 10er-pack,,4.29,,,,,,4.29,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Bio Eier M 10er-Packung,,5.99,,,,,,5.99,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Bodenhaltung L 10er-pack,,3.99,,,,,,3.99,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Bio Eier L 6er-Packung,,3.79,,,,,,3.79,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Wachteleier,,2.99,,,,,,2.99,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Bodenhaltung M 10er-Packung,,3.49,,,,,,3.49,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Bodenhaltung M 6er-Packung,,2.59,,,,,,2.59,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Schober Eier BH M 10er,,3.79,,,,,,3.79,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Eier Bodenhaltung M 15er-Packung,,4.69,,,,,,4.69,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Kärntner Ostereier Bodenhaltung M10,,4.99,,,,,,4.99,,,legacy_search
2026-03-26 13:18:13,2026-03-26,MPreis,,,,,,Echte Kärntner Eier Bodenhaltung M 30er,,7.99,,,,,,7.99,,,legacy_search
2026-03-26 13:18:14,2026-03-26,MPreis,,,,,,Räucherlachs,,5.99,,,,,,5.99,,,legacy_search
2026-03-26 13:18:14,2026-03-26,MPreis,,,,,,Räucherlachs,,4.99,,,,,,4.99,,,legacy_search
2026-03-26 13:18:14,2026-03-26,MPreis,,,,,,Räucherlachs Pate,,3.69,,,,,,3.69,,,legacy_search
2026-03-26 13:18:17,2026-03-26,MPreis,,,,,,Faschiertes gemischt,,6.99,,,,,,6.99,,,legacy_search
2026-03-26 13:18:17,2026-03-26,MPreis,,,,,,Faschiertes mager gemischt,,5.49,,,,,,5.49,,,legacy_search
2026-03-26 13:18:17,2026-03-26,MPreis,,,,,,Bio Tiroler Faschiertes gemischt,,6.99,,,,,,6.99,,,legacy_search
2026-03-26 13:18:17,2026-03-26,MPreis,,,,,,Faschiertes gemischt,,7.99,,,,,,7.99,,,legacy_search
2026-03-26 13:18:17,2026-03-26,MPreis,,,,,,T&G XL Faschiertes gemischt Großpackung,,8.99,,,,,,8.99,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella,,2.39,,,,,,2.39,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella gerieben,,1.99,,,,,,1.99,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella,,0.79,,,,,,0.79,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella Minis,,1.29,,,,,,1.29,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella Maxi,,3.49,,,,,,3.49,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella,,1.69,,,,,,1.69,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Bio Mozzarella,,1.89,,,,,,1.89,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella leicht,,0.79,,,,,,0.79,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella Stange 45%,,5.79,,,,,,5.79,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Ristorante Mozzarella,,3.99,,,,,,3.99,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella 40% gerieben,,1.99,,,,,,1.99,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Tomaten-Mozzarella Salat,,3.49,,,,,,3.49,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella 45%,,2.19,,,,,,2.19,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella light,,1.69,,,,,,1.69,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Back-Mozzarella Sticks,,3.59,,,,,,3.59,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Ravioli con Pomodoro grigliato Mozzarella e Basilico,,3.49,,,,,,3.49,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Bio Mozzarella 45%,,1.39,,,,,,1.39,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Crispy Mozzarella Sticks mit Red-Pepp,,2.19,,,,,,2.19,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Pfannen-Gnocchi Spinat-Mozzarella,,2.99,,,,,,2.99,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Ristorante Mozzarella glutenfrei,,4.49,,,,,,4.49,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Piccolinis Tomate-Mozzarella Pizza,,3.99,,,,,,3.99,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella Tris,,3.99,,,,,,3.99,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella laktosefrei 40%,,2.19,,,,,,2.19,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Gerieben Mozzarella Geschmack,,2.99,,,,,,2.99,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Pesto Basilico Mozzarella Bufala,,3.69,,,,,,3.69,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Steinofen Mozzarella Pizza,,3.99,,,,,,3.99,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Pasta Snack Mozzarella,,2.19,,,,,,2.19,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Spinat Mozzarella Taschen,,3.69,,,,,,3.69,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Intermezzo Tomate Mozzarella,,3.29,,,,,,3.29,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Spaghetteria Pomodoro Mozzarella Fertiggericht,,2.99,,,,,,2.99,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Margherita Tomate Mozzarella,,2.3,,,,,,2.3,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Mozzarella 50%,,1.79,,,,,,1.79,,,legacy_search
2026-03-26 13:18:19,2026-03-26,MPreis,,,,,,Galbani Mozzarella Scheiben Baguette,,9.59,,,,,,9.59,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Kaffeepads Crema 20er-Packung,,2.49,,,,,,2.49,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Classic Crema Löskaffee,,7.24,,,,,,7.24,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Gold Crema Löskaffee,,15.49,,,,,,15.49,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Crema e Gusto gemahlen,,8.49,,,,,,8.49,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Crema e Aroma ganze Bohne,,28.99,,,,,,28.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Crema vollmundig 1 kg,,23.99,,,,,,23.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Auslese Crema Bohne,,13.99,,,,,,13.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Crema Elegante ganze Bohne,,15.99,,,,,,15.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Passione Crema Bohne,,23.99,,,,,,23.99,,,legacy_search
2026-03-26 13:18:22,2026-03-26,MPreis,,,,,,Cafissimo Caffé Crema vollmundig Vorratsbox 30 Kapseln,,11.49,,,,,,11.49,,,legacy_search
