scraped_at,scrape_date,store_name,food_group,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-04-15T09:06:29+0200,2026-04-15,Billa,Aepfel,Aepfel,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Aepfel,,SCRAPE_ERROR: parser returned no products.
2026-04-15T09:06:31+0200,2026-04-15,Billa,Bananen,Bananen,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Bananen,,SCRAPE_ERROR: parser returned no products.
2026-04-15T09:06:33+0200,2026-04-15,Billa,Brot,Toastbrot,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Toastbrot,,SCRAPE_ERROR: parser returned no products.
2026-04-15T09:06:35+0200,2026-04-15,Billa,Butter,Teebutter,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,,SCRAPE_ERROR: Indizierung außerhalb der Grenzen
2026-04-15T09:06:37+0200,2026-04-15,Billa,Eier,Eier,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,,SCRAPE_ERROR: Indizierung außerhalb der Grenzen
2026-04-15T09:06:39+0200,2026-04-15,Billa,Fisch,Raeucherlachs,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/billa-bio-raeucherlachs-00443218,,SCRAPE_ERROR: Indizierung außerhalb der Grenzen
2026-04-15T09:06:40+0200,2026-04-15,Billa,Fleisch,Faschiertes gemischt,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,,SCRAPE_ERROR: Indizierung außerhalb der Grenzen
2026-04-15T09:06:42+0200,2026-04-15,Billa,Haferflocken,Haferflocken,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Haferflocken,,SCRAPE_ERROR: parser returned no products.
2026-04-15T09:06:44+0200,2026-04-15,Billa,Joghurt,Naturjoghurt,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Naturjoghurt,,SCRAPE_ERROR: parser returned no products.
2026-04-15T09:06:45+0200,2026-04-15,Billa,Kaese,Mozzarella,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,,SCRAPE_ERROR: Indizierung außerhalb der Grenzen
2026-04-15T09:06:46+0200,2026-04-15,Billa,Kaffee,Kaffee Crema,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/billa-bio-caffe-crema-00463751,,SCRAPE_ERROR: Indizierung außerhalb der Grenzen
2026-04-15T09:06:48+0200,2026-04-15,Billa,Karotten,Karotten,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Karotten,,SCRAPE_ERROR: parser returned no products.
2026-04-15T09:06:50+0200,2026-04-15,Billa,Kartoffeln,Kartoffeln,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Kartoffeln,,SCRAPE_ERROR: parser returned no products.
2026-04-15T09:06:52+0200,2026-04-15,Billa,Mehl,Weizenmehl universal,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-weizenmehl-universal-00643074,,SCRAPE_ERROR: Indizierung außerhalb der Grenzen
2026-04-15T09:06:53+0200,2026-04-15,Billa,Milch,Vollmilch,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-vollmilch-laenger-frisch-35-00651606,,SCRAPE_ERROR: Indizierung außerhalb der Grenzen
2026-04-15T09:06:55+0200,2026-04-15,Billa,Nudeln,Spaghetti,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Spaghetti,,SCRAPE_ERROR: parser returned no products.
2026-04-15T09:06:57+0200,2026-04-15,Billa,Reis,Langkornreis,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/suche/Langkornreis,,SCRAPE_ERROR: parser returned no products.
