scraped_at,scrape_date,store_name,food_group,category_name,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-05-10T09:19:33+0200,2026-05-10,Billa,Nudeln,Nudeln,Spaghetti,Eigenmarke,BILLA Bio Spaghetti,,,1.99,EUR,,,BILLA Bio 500 g Beutel,500,g,TRUE,,in Aktion,multi_buy,ab 2 Packungen,billa,https://shop.billa.at/produkte/billa-bio-spaghetti-00443042,https://shop.billa.at/produkte/billa-bio-spaghetti-00443042,500 g Standardpackung
2026-05-10T09:19:35+0200,2026-05-10,Billa,Reis,Reis,Langkornreis,Eigenmarke,Clever Langkornreis,,,,EUR,,,CLEVER 1 kg Beutel,1,kg,FALSE,,,,,billa,https://shop.billa.at/produkte/clever-langkornreis-00309662,https://shop.billa.at/produkte/clever-langkornreis-00309662,1 kg oder 500 g Standardpackung
2026-05-10T09:19:37+0200,2026-05-10,Billa,Schokolade,Schokolade,Vollmilchschokolade,Eigenmarke,Clever Alpenvollmilch Schokolade,,,4.79,EUR,,,CLEVER 100 g Tafel,100,g,TRUE,,in Aktion,multi_buy,ab 2 Tafeln,billa,https://shop.billa.at/produkte/clever-alpenvollmilch-schokolade-00769715,https://shop.billa.at/produkte/clever-alpenvollmilch-schokolade-00769715,Tafelware
2026-05-10T09:19:38+0200,2026-05-10,Billa,Zwiebeln,Zwiebeln,Zwiebeln,Eigenmarke,Ja! Natürlich Zwiebel gelb,,,,EUR,,,Ja! Natürlich 750 g Netz,750,g,FALSE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-zwiebel-gelb-00410615,https://shop.billa.at/produkte/ja-natuerlich-zwiebel-gelb-00410615,1 kg oder Standardgebinde bevorzugt
2026-05-10T09:19:42+0200,2026-05-10,Hofer,Aepfel,Aepfel,Aepfel,Eigenmarke,,,,,EUR,,,,,,,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Aepfel,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:19:44+0200,2026-05-10,Hofer,Bananen,Bananen,Bananen,Eigenmarke,,,,,EUR,,,,,,,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:19:45+0200,2026-05-10,Hofer,Brot,Brot,Toastbrot,Eigenmarke,HAPPY HARVEST Toastbrot,HAPPY HARVEST,0.99,,EUR,,,500 g,500,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.happy-harvest-toastbrot.000000000000100778.html,https://www.hofer.at/de/p.happy-harvest-toastbrot.000000000000100778.html,Standardpackung bevorzugt
2026-05-10T09:19:47+0200,2026-05-10,Hofer,Butter,Butter,Teebutter,Eigenmarke,"ZURÜCK ZUM URSPRUNG Buttervariation, Streichzart",ZURÜCK ZUM URSPRUNG,2.99,,EUR,,,,,,FALSE,,,,,hofer,https://www.hofer.at/de/p.zurueck-zum-ursprung-buttervariation-streichzart.000000000110877002.html,https://www.hofer.at/de/p.zurueck-zum-ursprung-buttervariation-streichzart.000000000110877002.html,Streichfaehige oder klassische Butter
2026-05-10T09:19:48+0200,2026-05-10,Hofer,Eier,Eier,Eier,Eigenmarke,,,,,EUR,,,,,,,,,,,hofer,https://www.hofer.at/de/p.fair-hof-freilandeier-m-l.000000000000286196.html,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-10T09:19:51+0200,2026-05-10,Hofer,Fisch,Fisch,Raeucherlachs,Eigenmarke,BIO Räucherlachs,BIO,4.49,,EUR,,,100 g Günstiger seit 15.12.2025,100,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.bio-raeucherlachs.000000000000634004.html,https://www.hofer.at/de/p.bio-raeucherlachs.000000000000634004.html,Moeglichst Standardprodukt
