scraped_at,scrape_date,store_name,food_group,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-05-04T10:41:44+0200,2026-05-04,Billa,Aepfel,Aepfel,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-apfel-tasse-rot-00431081,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
2026-05-04T10:41:45+0200,2026-05-04,Billa,Bananen,Bananen,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-bananen-00402489,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
2026-05-04T10:41:46+0200,2026-05-04,Billa,Brot,Toastbrot,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-hausbrot-00890961,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
2026-05-04T10:41:47+0200,2026-05-04,Billa,Butter,Teebutter,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
2026-05-04T10:41:49+0200,2026-05-04,Billa,Eier,Eier,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
2026-05-04T10:41:50+0200,2026-05-04,Billa,Fisch,Raeucherlachs,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/billa-bio-raeucherlachs-00443218,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
2026-05-04T10:41:51+0200,2026-05-04,Billa,Fleisch,Faschiertes gemischt,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
2026-05-04T10:41:55+0200,2026-05-04,Billa,Haferflocken,Haferflocken,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://https://shop.billa.at/produkte/ja-natuerlich-haferflocken-grob-00861637,,"SCRAPE_ERROR: Could not resolve hostname [https]:
Could not resolve host: https"
2026-05-04T10:41:56+0200,2026-05-04,Billa,Joghurt,Naturjoghurt,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-joghurt-natur-36-00503905,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
2026-05-04T10:41:57+0200,2026-05-04,Billa,Kaese,Mozzarella,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
2026-05-04T10:41:58+0200,2026-05-04,Billa,Kaffee,Kaffee Crema,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/billa-bio-caffe-crema-00463751,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
2026-05-04T10:41:59+0200,2026-05-04,Billa,Karotten,Karotten,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-karotten-00407681,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
2026-05-04T10:42:00+0200,2026-05-04,Billa,Kartoffeln,Kartoffeln,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-beilagenerdaepfel-00521912,,"SCRAPE_ERROR: Could not resolve hostname [shop.billa.at]:
Could not resolve host: shop.billa.at"
